Bee_ID,Birthdate,Birthweight,Source_colony,NP_observations,Sociality,NonsocNonact,NPWA,NPAQ,NPGO,NPGS,NPTR,NPBE,NPAD,NPVI,NPBC,NPIN,Forage_date,Forage_age,AFF_week,GRS_score,GRS_low,Date_fMR,Age_fMR,Mass_fMR,Date_sMR,Age_sMR,Mass_sMR,RMRMeanstable2min,RMRSDstable2min,RMRMeanlowregion,RMRSDlowregion,RMRMeanlow120,RMRSDlow120,RMRMeanpeak,RMRSDpeak,RMRMeanvalley,RMRSDvalley,RMRMeanperiod,RMRSDperiod,RMRNumberpeaks,Meanallflight,SDallflight,Maxallflight,Meancontig,SDcontig,Maxcontig,Lengthcontig,Meanstable1min,SDstable1min,Maxstable1min,Meanhigh1min,SDhigh1min,Maxhigh1min,Meanhighest120,SDhighest120,Maxhighest120,Date_death,Days_captivity,Age_death,longevity,RMRwcjoule,FMRwcjoule,RMR,RMRpeak,FMR,RMR34,FMR34,Conswc2,ConsJ,ConsJhr,ConsmWwc2,massbal,MB,wt_birthtofMR,RMR2,FMR2,ConsmWwc22,SharefedT1_5ave2,NPBC2,Sociality2,NPWA2,NonsocNonact2,wt_birthtofMR22,wt_birthtofMR2,Birthweight2,longevity2,Forage_age2,AFF_group22,RMR2,FMR2,ConsmWwc22,NPBC2,Sociality2,NPWA2,NonsocNonact2,Birthweight2,longevity2,Forage_age2,AFF_group22
BW13,6/18/2018,0.1263,LAP_4,16,0.14,0.369,0.248,0,0.14,0,0,0,0,0,0.243,0.369,7/4/2018,16,3,NA,NA,7/15/2018,27,0.0973,18-Jul,30,0.1456,39.82467418,10.15152152,24.98998995,23.15765483,9.926546762,5.794620912,81.77290444,46.65252792,32.26195818,44.38625616,23.40909091,8.364659734,23,690.6197436,33.82394816,818.1316263,690.6197436,33.82394816,818.1316263,156,690.683068,10.87970849,719.9390456,701.7186439,18.21698166,798.9115661,719.9338974,30.43863027,818.1316263,7/21/2018,3,33,33,54.96256782,1519.07684,15.26737995,49.95832348,421.9657889,8.526930512,235.6706241,0.592497431,288.8265,12.0344375,34.35662185,19.08924189,Positive,0.029,1.526737995,42.19657889,3.435662185,2.077,24.3,14,24.8,36.9,1.029,2.9,12.63,33,16,9,1.526737995,42.19657889,3.435662185,24.3,14,24.8,36.9,12.63,33,16,9
BW16,6/18/2018,0.134,LAP_4,14,0,0.424,0.077,0,0,0.068,0,0,0,0,0.499,0.356,6/27/2018,9,2,1,9,7/3/2018,15,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.493843,58.74105823,533.6492438,391.937201,69.09355346,533.6492438,188,430.1501837,14.46357155,452.8143983,445.2228027,42.36266881,533.6492438,460.2645828,30.40848918,533.6492438,7/4/2018,1,16,NA,NA,1211.212359,NA,NA,336.4478776,NA,176.6530707,NA,NA,NA,NA,NA,NA,0.058,NA,33.64478776,NA,NA,49.9,0,7.7,42.4,1.058,5.8,13.4,NA,9,4,NA,33.64478776,NA,49.9,0,7.7,42.4,13.4,NA,9,4
BW29,6/18/2018,0.1242,LAP_4,11,0,0.182,0.372,0,0,0.092,0,0,0,0,0.446,0.09,7/10/2018,22,4,NA,NA,7/15/2018,27,0.077,18-Jul,30,0.1301,44.44060306,9.904573382,44.40629379,9.907932465,37.5408161,4.055670872,132.0924936,100.1647588,52.67277239,36.88681601,30.75,14.55475555,13,414.5354284,89.00979375,524.6803673,414.5354284,89.00979375,524.6803673,276,494.187838,10.8592585,524.6803673,494.187838,10.8592585,524.6803673,496.2346983,9.185467303,524.6803673,7/27/2018,9,39,39,123.4148944,1373.457108,34.28191512,101.9761675,381.5158634,18.05875294,200.9718739,0.451298701,174.0975,7.2540625,26.16905664,-8.112858481,Negative,0.0472,3.428191512,38.15158634,2.616905664,1.666333333,44.6,0,37.2,18.2,1.0472,4.72,12.42,39,22,16,3.428191512,38.15158634,2.616905664,44.6,0,37.2,18.2,12.42,39,22,16
BW36,6/18/2018,0.1248,LAP_4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/29/2018,11,2,6,3,7/5/2018,17,0.0803,7/6/2018,18,0.1345,217.4253067,83.02538227,162.9353589,101.7268515,72.25077885,26.3826414,312.9997517,122.3010438,118.4863735,84.802296,34.76923077,15.31423002,14,596.433216,38.49522262,656.1965437,605.6101046,31.74052,656.1965437,123,621.7319981,14.8991131,656.1965437,621.8263013,16.65287767,656.1965437,629.686052,10.48094127,656.1965437,7/16/2018,10,28,28,434.223746,1656.919646,120.6177072,231.707302,460.2554573,64.20812017,245.0066279,1.049398095,422.1760017,17.59066674,60.85051452,-59.76719271,Negative,0.0445,12.06177072,46.02554573,6.085051452,NA,NA,NA,NA,NA,1.0445,4.45,12.48,28,11,4,12.06177072,46.02554573,6.085051452,NA,NA,NA,NA,12.48,28,11,4
BW42,6/18/2018,0.1297,LAP_4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/9/2018,21,3,NA,NA,NA,NA,0.1199,18-Jul,30,0.1199,62.83137633,20.59805755,62.83137633,20.59805755,38.27591836,15.43080582,135.2046322,64.6067801,44.86196004,28.14102396,28.0625,11.31057765,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/23/2018,5,35,35,112.1427401,NA,31.15076113,67.03222892,NA,18.330464,NA,0.811509591,487.473,20.311375,47.05628533,15.9055242,Positive,0.0098,3.115076113,NA,4.705628533,6,NA,NA,NA,NA,1.0098,0.98,12.97,35,21,9,3.115076113,NA,4.705628533,NA,NA,NA,NA,12.97,35,21,9
BW44,6/18/2018,0.1237,LAP_4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/26/2018,11,2,NA,NA,NA,NA,0.1171,26-Jul,38,0.1171,28.5996161,9.29887314,28.28925867,9.635231987,17.86435118,2.777585891,49.50350019,8.06284439,16.66658785,4.585193312,29.81818182,5.40033669,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.69855982,NA,14.36071106,25.12987248,NA,8.400694048,NA,NA,NA,NA,NA,NA,NA,0.0066,1.436071106,NA,NA,3.219333333,NA,NA,NA,NA,1.0066,0.66,12.37,NA,11,4,1.436071106,NA,NA,NA,NA,NA,NA,12.37,NA,11,4
BW49,6/18/2018,0.1279,LAP_4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/18/2018,3,4,NA,NA,NA,NA,0.1192,26-Jul,38,0.1192,37.00315931,10.70566553,33.47332541,14.16172219,20.53859261,4.301833796,58.90463742,7.821097831,17.19123467,4.925723551,21.68421053,6.872268197,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0947285,NA,16.69298014,29.37544838,NA,9.808507772,NA,NA,NA,NA,NA,NA,NA,0.0087,1.669298014,NA,NA,2.193,NA,NA,NA,NA,1.0087,0.87,12.79,NA,3,16,1.669298014,NA,NA,NA,NA,NA,NA,12.79,NA,3,16
BW9,6/18/2018,0.1255,LAP_4,17,0.061,0.347,0.25,0,0.061,0,0,0,0,0,0.342,0.347,6/25/2018,11,2,5,1,6/25/2018,7,0.1133,6/26/2018,8,0.1312,26.8319533,6.751613377,26.70197843,6.764872665,21.68593473,3.402553233,46.75793458,7.481460583,21.22115023,8.093045351,27.68421053,9.978046077,20,757.4713662,52.34925632,996.6311711,734.0809262,23.65382002,762.3529635,8,734.0809262,NA,762.3529635,755.3119708,6.515664608,762.3529635,734.0809262,23.65382002,762.3529635,7/11/2018,15,23,23,50.43445176,1386.525315,14.00956993,24.53221045,385.1459209,8.127973536,223.4512457,0.255075022,144.789,6.032875,14.79080857,0.781238639,Positive,0.0122,1.400956993,38.51459209,1.479080857,NA,34.2,6.1,25,34.7,1.0122,1.22,12.55,23,11,4,1.400956993,38.51459209,1.479080857,34.2,6.1,25,34.7,12.55,23,11,4
G1,6/11/2018,0.1132,LAP_3,15,0,0.478,0.198,0,0,0.139,0,0,0,0,0.324,0.339,6/20/2018,9,2,2,5,7/5/2018,24,0.0903,7/6/2018,25,0.1191,89.1734509,12.19523684,70.2093547,14.97499171,73.30810133,12.06916582,235.1366708,199.4017615,126.7104756,134.4231603,28.26315789,16.1824394,20,845.857295,70.35037779,1077.504011,860.216888,48.303177,969.5119397,103,833.8145857,42.88281215,969.5119397,864.7495921,52.32877593,940.5555742,893.441281,29.83334924,969.5119397,7/15/2018,9,34,34,166.387618,1976.038996,46.21878278,154.7903518,548.8997211,25.33613948,300.8949838,1.107788848,501.1669983,20.88195826,64.23636724,18.01758447,Positive,0.0229,4.621878278,54.88997211,6.423636724,NA,32.4,0,19.8,47.8,1.0229,2.29,11.32,34,9,4,4.621878278,54.88997211,6.423636724,32.4,0,19.8,47.8,11.32,34,9,4
G10,6/11/2018,0.1188,LAP_3,15,0,0.206,0.258,0,0,0.136,0,0,0,0,0.536,0.07,6/25/2018,14,2,6,2,6/25/2018,14,0.1325,6/26/2018,15,0.092,34.97680851,4.826100914,27.97108932,16.83988691,25.638996,3.608888126,46.37728494,6.647797472,24.04516581,9.131774909,23.3125,9.505304122,33,690.5142835,54.07796667,832.887282,719.7499271,21.85690315,765.2095738,38,719.7499271,21.85690315,765.2095738,719.7499271,21.85690315,765.2095738,719.7499271,21.85690315,765.2095738,7/20/2018,24,39,39,45.17594803,1162.464033,12.54887445,20.80658066,322.9066759,7.571095843,194.8188581,0.370458219,245.9194271,10.2466428,21.48143144,8.932556987,Positive,-0.0137,1.254887445,32.29066759,2.148143144,0.480666667,53.6,0,25.8,20.6,0.9863,-1.37,11.88,39,14,4,1.254887445,32.29066759,2.148143144,53.6,0,25.8,20.6,11.88,39,14,4
G12,6/11/2018,0.1092,LAP_3,12,0.084,0.166,0.255,0,0.084,0,0,0,0,0,0.495,0.166,6/25/2018,14,2,8,1,6/27/2018,16,0.0719,6/28/2018,17,0.1164,67.64633326,12.81562498,36.82814145,13.16685215,34.20160417,3.343404259,73.95143747,26.42445924,41.41468446,17.8593412,32.47058824,19.28120084,18,762.418195,92.57863002,963.4042883,843.962106,21.79956433,963.4042883,85,838.9876963,9.945789858,863.64414,848.4589105,23.13284126,963.4042883,851.2174919,21.76994983,963.4042883,7/11/2018,13,30,30,109.6136616,2497.126106,30.44823934,61.14050231,693.6461405,15.76683081,359.1866583,0.943175049,339.7495729,14.1562322,54.69105317,24.24281383,Positive,0.0373,3.044823934,69.36461405,5.469105317,NA,49.5,8.4,25.5,16.6,1.0373,3.73,10.92,30,14,4,3.044823934,69.36461405,5.469105317,49.5,8.4,25.5,16.6,10.92,30,14,4
G14,6/11/2018,0.1069,LAP_3,17,0,0.661,0.293,0,0,0.239,0,0,0,0,0.046,0.422,6/18/2018,7,1,3,5,7/7/2018,26,0.0882,7/8/2018,27,0.1204,260.0928112,72.12278969,183.0326316,113.3255764,108.7663146,42.14033216,429.6239404,94.24886948,148.604281,117.0855681,48.2,23.06416171,11,894.873752,47.12171854,1027.993353,905.1036707,23.18970132,942.4975353,90,915.9253711,15.0443533,942.4975353,915.9253711,15.0443533,942.4975353,917.1564792,13.74397766,942.4975353,7/10/2018,2,29,NA,444.0927796,2222.313259,123.3591054,289.5550619,617.3092385,67.22616819,336.4107946,1.225056689,541.3305,22.5554375,71.03627331,-52.32283214,Negative,0.0187,12.33591054,61.73092385,7.103627331,NA,4.6,0,29.3,66.1,1.0187,1.87,10.69,NA,7,1,12.33591054,61.73092385,7.103627331,4.6,0,29.3,66.1,10.69,NA,7,1
G19,6/11/2018,0.1122,LAP_3,14,0.071,0.067,0.497,0,0,0.067,0.071,0,0,0,0.365,0,6/20/2018,9,2,8,1,7/7/2018,26,0.0854,7/8/2018,27,0.1278,220.8454818,30.61058618,166.2946207,66.37065304,126.3588851,22.59324276,318.5222132,109.6201171,148.6943638,59.52399414,46.3,19.10235588,11,911.4432567,27.30580176,1046.610551,904.774326,18.79343685,996.8309642,123,906.7226577,11.86477656,951.8946525,911.6109568,12.45004893,951.8946525,918.8949398,15.94605466,996.8309642,7/12/2018,4,31,31,416.7101737,2272.115325,115.752826,221.7140048,631.1431458,62.57431015,341.1868921,1.870023419,800.097,33.337375,108.4353858,-7.317440248,Negative,0.0268,11.5752826,63.11431458,10.84353858,NA,36.5,7.1,49.7,6.7,1.0268,2.68,11.22,31,9,4,11.5752826,63.11431458,10.84353858,36.5,7.1,49.7,6.7,11.22,31,9,4
G25,6/11/2018,0.1107,LAP_3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/20/2018,9,2,5,4,7/3/2018,22,0.0811,7/4/2018,23,0.1261,72.38020467,12.16683294,72.38020467,12.16683294,60.86977574,7.467512976,168.2498062,112.5169022,68.68034309,44.02893562,36.7,14.39174146,11,699.4416566,84.26906384,1126.080698,636.0393051,36.09192225,738.5105935,109,633.5787331,24.6873785,688.2179368,642.550695,34.38210871,738.5105935,662.5308563,21.38672721,738.5105935,7/9/2018,5,28,28,190.9909223,1671.835375,53.05303398,123.3232584,464.3987152,28.31166682,247.8256324,1.068434032,434.1165,18.0881875,61.9543345,8.901300523,Positive,0.0296,5.305303398,46.43987152,6.19543345,NA,NA,NA,NA,NA,1.0296,2.96,11.07,28,9,4,5.305303398,46.43987152,6.19543345,NA,NA,NA,NA,11.07,28,9,4
G29,6/11/2018,0.1232,LAP_3,15,0,0.2,0.273,0,0,0,0,0,0,0,0.527,0.2,6/20/2018,9,2,2,5,6/25/2018,14,0.099,6/26/2018,15,0.1127,82.80123115,11.83952526,67.87699735,11.87390988,57.8149733,6.83068237,98.71796181,9.732533529,56.61135942,8.77813884,37.5,19.09188309,11,767.2783671,64.46902067,1024.066835,756.573211,80.97234583,1024.066835,41,756.573211,80.97234583,1024.066835,756.573211,80.97234583,1024.066835,756.573211,80.97234583,1024.066835,7/10/2018,14,29,29,146.7240145,1635.42088,40.75667069,59.27509491,454.2835779,22.86164617,254.8213641,0.901587303,447.1782864,18.6324286,52.27954153,11.52287084,Positive,0.0242,4.075667069,45.42835779,5.227954153,NA,52.7,0,27.3,20,1.0242,2.42,12.32,29,9,4,4.075667069,45.42835779,5.227954153,52.7,0,27.3,20,12.32,29,9,4
G33,6/11/2018,0.114,LAP_3,14,0.143,0.29,0.211,0,0,0.29,0.143,0,0,0,0.356,0,6/20/2018,9,2,8,1,7/7/2018,26,0.0894,7/8/2018,27,0.0929,173.8700621,54.01775728,148.1050931,72.14138289,115.4651459,43.83514983,401.464785,198.7752237,162.3671006,84.82861099,35.07692308,15.48365557,14,900.7590061,87.28299462,1105.784982,929.6626115,77.84063412,1105.784982,188,972.1858317,30.40879621,1105.784982,983.6262222,51.11370265,1061.15972,1011.313908,30.12797907,1105.784982,7/31/2018,23,50,50,354.5244958,2327.156241,98.47902661,266.9446433,646.4322893,53.84906005,353.4739565,0.410961969,184.0674,7.669475,23.83008638,-74.64894023,Negative,0.0246,9.847902661,64.64322893,2.383008638,0.161666667,35.6,14.3,21.1,29,1.0246,2.46,11.4,50,9,4,9.847902661,64.64322893,2.383008638,35.6,14.3,21.1,29,11.4,50,9,4
G34,6/11/2018,0.1208,LAP_3,13,0.074,0.151,0.469,0,0.074,0.151,0,0,0,0,0.306,0,6/20/2018,9,2,7,2,7/7/2018,26,0.0877,7/8/2018,27,0.1422,193.3362945,57.88053239,177.4011095,68.26422849,109.3236199,31.78987167,309.0244222,77.22158119,144.3358838,58.66728787,53.71428571,30.15357517,8,744.2496031,46.52855078,871.0552187,772.7623283,45.35636026,871.0552187,100,753.9636969,19.10104333,794.4729637,794.7663512,42.03278865,871.0552187,800.2503266,35.93389875,871.0552187,7/15/2018,7,34,34,432.882981,1839.774585,120.2452725,209.4616317,511.0484959,65.43617561,278.1070593,0.89304447,392.3832,16.3493,51.78417585,-68.46109665,Negative,0.0331,12.02452725,51.10484959,5.178417585,NA,30.6,7.4,46.9,15.1,1.0331,3.31,12.08,34,9,4,12.02452725,51.10484959,5.178417585,30.6,7.4,46.9,15.1,12.08,34,9,4
G45,6/11/2018,0.1145,LAP_3,11,0.089,0,0.452,0,0,0,0.089,0,0,0,0.459,0,6/20/2018,9,2,7,1,6/27/2018,16,0.0721,6/28/2018,17,0.1046,61.56038683,16.71563236,61.56038683,16.71563236,39.52145696,5.555129641,103.3982571,46.38104513,42.18658113,13.91569575,32.28571429,19.67203627,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/7/2018,9,26,26,182.7173756,NA,50.75482656,85.24898682,NA,26.30032797,NA,0.760649889,274.7627136,11.4484464,44.10712898,-6.647697576,Negative,0.0424,5.075482656,NA,4.410712898,NA,45.9,8.9,45.2,0,1.0424,4.24,11.45,26,9,4,5.075482656,NA,4.410712898,45.9,8.9,45.2,0,11.45,26,9,4
